660674.0731,3550644.647
660610.0731,3550572.647
660546.0731,3550500.647
660410.0731,3550539.313
660274.0731,3550577.98
660138.0731,3550616.647
660044.0731,3550508.647
659950.0731,3550400.647
659845.0731,3550304.647
659740.0731,3550208.647
659635.0731,3550112.647
659530.0731,3550016.647
659431.4064,3549932.647
659332.7397,3549848.647
659234.0731,3549764.647
659156.0731,3549672.647
659078.0731,3549580.647
659000.0731,3549472.647
658922.0731,3549364.647
658831.0731,3549205.647
658740.0731,3549046.647
658649.0731,3548887.647
658558.0731,3548728.647
658458.0731,3548582.647
658358.0731,3548436.647
658246.0731,3548338.647
658134.0731,3548240.647
658020.0731,3548108.647
657906.0731,3547976.647
657878.0731,3548150.361
657850.0731,3548324.075
657822.0731,3548497.79
657794.0731,3548671.504
657766.0731,3548845.218
657738.0731,3549018.933
657710.0731,3549192.647
657724.0731,3549306.647
657738.0731,3549420.647
657722.0731,3549578.647
657706.0731,3549736.647
657706.0731,3549889.647
657706.0731,3550042.647
657706.0731,3550195.647
657706.0731,3550348.647
657718.0731,3550460.647
657710.0731,3550588.647
657682.0731,3550704.647
657634.0731,3550792.647
657598.0731,3550824.647
657510.0731,3550864.647
657414.0731,3550928.647
657442.0731,3551036.647
657530.0731,3551137.98
657618.0731,3551239.313
657706.0731,3551340.647
657804.0731,3551438.647
657902.0731,3551536.647
658027.4064,3551635.313
658152.7397,3551733.98
658278.0731,3551832.647
658422.0731,3551915.313
658566.0731,3551997.98
658710.0731,3552080.647
658850.0731,3552135.313
658990.0731,3552189.98
659130.0731,3552244.647
659202.0731,3552232.647
659336.2953,3552115.758
659470.5175,3551998.869
659604.7397,3551881.98
659738.9619,3551765.091
659873.1842,3551648.202
660007.4064,3551531.313
660141.6286,3551414.425
660275.8508,3551297.536
660410.0731,3551180.647
660538.0731,3551062.647
660666.0731,3550944.647
660726.0731,3550872.647
660702.0731,3550696.647
660674.0731,3550644.647
